,name,date_utc,success,rocket
77,CRS-17,2019-05-04 06:48:00+00:00,1,5e9d0d95eda69973a809d1ec
78,Starlink v0.9,2019-05-24 02:30:00+00:00,1,5e9d0d95eda69973a809d1ec
79,RADARSAT Constellation,2019-06-12 14:17:00+00:00,1,5e9d0d95eda69973a809d1ec
80,STP-2,2019-06-25 03:30:00+00:00,1,5e9d0d95eda69974db09d1ed
81,CRS-18,2019-07-25 22:01:00+00:00,1,5e9d0d95eda69973a809d1ec
82,Amos-17,2019-08-06 22:52:00+00:00,1,5e9d0d95eda69973a809d1ec
83,Starlink-1,2019-11-11 14:56:00+00:00,1,5e9d0d95eda69973a809d1ec
84,CRS-19,2019-12-05 17:29:23+00:00,1,5e9d0d95eda69973a809d1ec
85,JCSat 18 / Kacific 1,2019-12-17 00:10:00+00:00,1,5e9d0d95eda69973a809d1ec
86,Starlink-2,2020-01-07 02:19:00+00:00,1,5e9d0d95eda69973a809d1ec
87,Crew Dragon In Flight Abort Test,2020-01-19 14:00:00+00:00,1,5e9d0d95eda69973a809d1ec
88,Starlink-3,2020-01-29 14:06:00+00:00,1,5e9d0d95eda69973a809d1ec
89,Starlink-4,2020-02-17 15:05:55+00:00,1,5e9d0d95eda69973a809d1ec
90,CRS-20,2020-03-07 04:50:31+00:00,1,5e9d0d95eda69973a809d1ec
91,Starlink-5,2020-03-18 12:16:00+00:00,1,5e9d0d95eda69973a809d1ec
92,Starlink-6,2020-04-22 19:30:00+00:00,1,5e9d0d95eda69973a809d1ec
93,CCtCap Demo Mission 2,2020-05-30 19:22:00+00:00,1,5e9d0d95eda69973a809d1ec
94,Starlink-7,2020-06-04 01:25:00+00:00,1,5e9d0d95eda69973a809d1ec
95,Starlink-8 & SkySat 16-18,2020-06-13 09:21:00+00:00,1,5e9d0d95eda69973a809d1ec
96,GPS III SV03 (Columbus),2020-06-30 19:55:00+00:00,1,5e9d0d95eda69973a809d1ec
97,ANASIS-II,2020-07-20 21:30:00+00:00,1,5e9d0d95eda69973a809d1ec
98,Starlink-9 (v1.0) & BlackSky Global 5-6,2020-08-07 05:12:00+00:00,1,5e9d0d95eda69973a809d1ec
99,Starlink-10 (v1.0) & SkySat 19-21,2020-08-18 14:31:00+00:00,1,5e9d0d95eda69973a809d1ec
100,"SAOCOM 1B, GNOMES-1, Tyvak-0172",2020-08-30 23:18:00+00:00,1,5e9d0d95eda69973a809d1ec
101,Starlink-11 (v1.0),2020-09-03 12:46:00+00:00,1,5e9d0d95eda69973a809d1ec
102,Starlink-12 (v1.0),2020-10-06 11:29:00+00:00,1,5e9d0d95eda69973a809d1ec
103,Starlink-13 (v1.0),2020-10-18 12:25:00+00:00,1,5e9d0d95eda69973a809d1ec
104,Starlink-14 (v1.0),2020-10-24 15:31:00+00:00,1,5e9d0d95eda69973a809d1ec
105,GPS III SV04 (Sacagawea),2020-11-05 23:24:00+00:00,1,5e9d0d95eda69973a809d1ec
106,Crew-1,2020-11-16 00:27:00+00:00,1,5e9d0d95eda69973a809d1ec
107,Sentinel-6 Michael Freilich,2020-11-21 17:17:00+00:00,1,5e9d0d95eda69973a809d1ec
108,Starlink-15 (v1.0),2020-11-25 02:13:00+00:00,1,5e9d0d95eda69973a809d1ec
109,CRS-21,2020-12-06 16:17:00+00:00,1,5e9d0d95eda69973a809d1ec
110,SXM-7,2020-12-13 17:30:00+00:00,1,5e9d0d95eda69973a809d1ec
111,NROL-108,2020-12-19 14:00:00+00:00,1,5e9d0d95eda69973a809d1ec
112,Turksat 5A,2021-01-08 02:15:00+00:00,1,5e9d0d95eda69973a809d1ec
113,Starlink-16 (v1.0),2021-01-20 13:02:00+00:00,1,5e9d0d95eda69973a809d1ec
114,Transporter-1,2021-01-24 15:00:00+00:00,1,5e9d0d95eda69973a809d1ec
115,Starlink-18 (v1.0),2021-02-04 06:19:00+00:00,1,5e9d0d95eda69973a809d1ec
116,Starlink-19 (v1.0),2021-02-16 03:59:00+00:00,1,5e9d0d95eda69973a809d1ec
117,Starlink-17 (v1.0),2021-03-04 08:24:00+00:00,1,5e9d0d95eda69973a809d1ec
118,Starlink-20 (v1.0),2021-03-11 08:13:00+00:00,1,5e9d0d95eda69973a809d1ec
119,Starlink-21 (v1.0),2021-03-14 10:01:00+00:00,1,5e9d0d95eda69973a809d1ec
120,Starlink-22 (v1.0),2021-03-24 08:28:00+00:00,1,5e9d0d95eda69973a809d1ec
121,Starlink-23 (v1.0),2021-04-07 16:34:00+00:00,1,5e9d0d95eda69973a809d1ec
122,Crew-2,2021-04-23 09:49:00+00:00,1,5e9d0d95eda69973a809d1ec
123,Starlink-24 (v1.0),2021-04-29 03:44:00+00:00,1,5e9d0d95eda69973a809d1ec
124,Starlink-25 (v1.0),2021-05-04 19:01:00+00:00,1,5e9d0d95eda69973a809d1ec
125,Starlink-27 (v1.0),2021-05-09 06:42:00+00:00,1,5e9d0d95eda69973a809d1ec
126,Starlink-26 (v1.0) + Capella-6 + Tyvak-0130,2021-05-15 22:54:00+00:00,1,5e9d0d95eda69973a809d1ec
127,Starlink-28 (v1.0),2021-05-26 18:59:00+00:00,1,5e9d0d95eda69973a809d1ec
128,CRS-22 & IROSA,2021-06-03 17:29:00+00:00,1,5e9d0d95eda69973a809d1ec
129,SXM-8,2021-06-06 04:26:00+00:00,1,5e9d0d95eda69973a809d1ec
130,GPS III SV05,2021-06-17 16:09:00+00:00,1,5e9d0d95eda69973a809d1ec
131,Transporter-2,2021-06-30 19:31:00+00:00,1,5e9d0d95eda69973a809d1ec
132,CRS-23,2021-08-29 07:14:00+00:00,1,5e9d0d95eda69973a809d1ec
133,Starlink 2-1 (v1.5),2021-09-14 03:55:00+00:00,1,5e9d0d95eda69973a809d1ec
134,Inspiration4,2021-09-16 00:02:00+00:00,1,5e9d0d95eda69973a809d1ec
135,Crew-3,2021-11-11 02:03:00+00:00,1,5e9d0d95eda69973a809d1ec
136,Starlink 4-1 (v1.5),2021-11-13 12:40:00+00:00,1,5e9d0d95eda69973a809d1ec
137,DART,2021-11-24 06:20:00+00:00,1,5e9d0d95eda69973a809d1ec
138,Starlink 4-3 (v1.5),2021-12-01 23:20:00+00:00,1,5e9d0d95eda69973a809d1ec
139,IXPE,2021-12-09 06:00:00+00:00,1,5e9d0d95eda69973a809d1ec
140,Starlink 4-4 (v1.5),2021-12-18 12:41:40+00:00,1,5e9d0d95eda69973a809d1ec
141,Türksat 5B,2021-12-19 03:58:00+00:00,1,5e9d0d95eda69973a809d1ec
142,CRS-24,2021-12-21 10:06:00+00:00,1,5e9d0d95eda69973a809d1ec
143,Starlink 4-5 (v1.5),2022-01-06 21:49:00+00:00,1,5e9d0d95eda69973a809d1ec
144,Transporter-3,2022-01-13 15:25:00+00:00,1,5e9d0d95eda69973a809d1ec
145,Starlink 4-6 (v1.5),2022-01-19 00:04:00+00:00,1,5e9d0d95eda69973a809d1ec
146,CSG-2,2022-01-31 23:11:12+00:00,1,5e9d0d95eda69973a809d1ec
147,NROL-87,2022-02-02 20:18:00+00:00,1,5e9d0d95eda69973a809d1ec
148,Starlink 4-7 (v1.5),2022-02-03 18:13:00+00:00,1,5e9d0d95eda69973a809d1ec
149,Starlink 4-8 (v1.5),2022-02-21 14:44:00+00:00,1,5e9d0d95eda69973a809d1ec
150,Starlink 4-11 (v1.5),2022-02-25 17:12:00+00:00,1,5e9d0d95eda69973a809d1ec
151,Starlink 4-9 (v1.5),2022-03-03 14:35:00+00:00,1,5e9d0d95eda69973a809d1ec
152,Starlink 4-10 (v1.5),2022-03-09 13:45:00+00:00,1,5e9d0d95eda69973a809d1ec
153,Starlink 4-12 (v1.5),2022-03-19 03:24:00+00:00,1,5e9d0d95eda69973a809d1ec
154,Transporter-4,2022-04-01 16:24:00+00:00,1,5e9d0d95eda69973a809d1ec
155,Ax-1,2022-04-08 15:17:00+00:00,1,5e9d0d95eda69973a809d1ec
156,NROL-85,2022-04-17 13:13:00+00:00,1,5e9d0d95eda69973a809d1ec
157,Starlink 4-14 (v1.5),2022-04-21 15:16:00+00:00,1,5e9d0d95eda69973a809d1ec
158,Crew-4,2022-04-27 07:52:00+00:00,1,5e9d0d95eda69973a809d1ec
159,Starlink 4-16 (v1.5),2022-04-29 21:27:00+00:00,1,5e9d0d95eda69973a809d1ec
160,Starlink 4-17 (v1.5),2022-05-06 09:42:00+00:00,1,5e9d0d95eda69973a809d1ec
161,Starlink 4-13 (v1.5),2022-05-13 22:07:00+00:00,1,5e9d0d95eda69973a809d1ec
162,Starlink 4-15 (v1.5),2022-05-14 20:40:00+00:00,1,5e9d0d95eda69973a809d1ec
